tissue,study_id,animal,group,weeks,sex,area,MHplus_int,apex_rt,log2
Hypothalamus,ST002641,90292,Training,4,Male,24068.068675266622,146699.625,8.3489842,14.554832757988157
Hypothalamus,ST002641,90410,Training,4,Female,36369.57088089362,239471.78125,3.6727757,15.150444283301214
Hypothalamus,ST002641,90416,Training,4,Female,275752.1577714131,3325129.0,1.6899035,18.073012649442724
Hypothalamus,ST002641,90412,Training,4,Female,68193.114942123,557986.0,5.030478,16.05733846571563
Hypothalamus,ST002641,90420,Training,4,Female,151139.42833334237,1735226.625,1.6975281,17.2055205455331
Hypothalamus,ST002641,90421,Training,1,Male,21696.386970489068,95480.84375,5.0052698,14.405167194857714
Hypothalamus,ST002641,90422,Training,1,Male,245327.48258885046,3262856.75,1.6852101,17.90434933398965
Hypothalamus,ST002641,90426,Training,1,Male,185481.2875163132,2182566.25,1.6986972,17.500914120748373
Hypothalamus,ST002641,90423,Training,1,Male,34424.6093931606,135170.578125,3.6501257,15.071152664127634
Hypothalamus,ST002641,90439,Training,2,Male,25537.960590759827,148432.234375,3.6469714,14.640355698518244
Hypothalamus,ST002641,90430,Training,1,Male,168075.4942616083,2105047.75,1.698616,17.358749866563006
Hypothalamus,ST002641,90441,Training,2,Male,170369.40246511388,2579956.25,1.7036519,17.378306732092494
Hypothalamus,ST002641,90449,Training,2,Male,167248.7870031719,2149649.0,1.7035939,17.35163622198005
Hypothalamus,ST002641,90559,Training,1,Female,188655.78052138098,2189681.25,1.7016321,17.525396780266068
Hypothalamus,ST002641,90444,Training,2,Male,25473.849264942015,115855.546875,3.6524586,14.636729356273872
Hypothalamus,ST002641,90450,Training,2,Male,31878.4853124647,131518.515625,5.0488562,14.960295461697475
Hypothalamus,ST002641,90560,Training,1,Female,19137.537100082547,85392.515625,3.6931883,14.224117554089835
Hypothalamus,ST002641,90564,Training,1,Female,41899.743864541386,276775.28125,5.0289552,15.354653804226215
Hypothalamus,ST002641,90567,Training,1,Female,24587.88859287776,122368.5546875,4.990934,14.585660232931243
Hypothalamus,ST002641,90571,Training,1,Female,30188.841980139212,164238.5625,5.028617,14.881727796833157
Hypothalamus,ST002641,90576,Training,2,Female,55922.36338731743,272715.5,5.0437634,15.771137712636053
Hypothalamus,ST002641,90581,Training,2,Female,325669.21537307603,4798920.0,1.6945756,18.31304782656963
Hypothalamus,ST002641,90578,Training,2,Female,149679.40777314568,1920499.125,1.7065983,17.191516229921064
Hypothalamus,ST002641,90585,Training,2,Female,22524.297703772943,122695.203125,3.6699422,14.459194503786737
Hypothalamus,ST002641,90587,Training,2,Female,21650.524834162956,91620.7578125,3.6446098,14.40211437754841
Ovaries,ST002667,90251,Training,8,Female,,,,
Ovaries,ST002667,90245,Control,0,Female,51094.29143121865,338773.96875,5.0131177,15.640874492944691
Ovaries,ST002667,90258,Training,8,Female,41501.41423985967,281601.8125,5.0121767,15.340872879432336
Ovaries,ST002667,90252,Control,0,Female,137802.61201838026,1369963.32421875,5.0241328,17.07224370870724
Ovaries,ST002667,90254,Training,8,Female,37447.87156479926,369654.125,1.7064455,15.192596101700179
Ovaries,ST002667,90248,Control,0,Female,60818.266860304466,854535.0,1.6904715,15.892217083986715
Ovaries,ST002667,90259,Training,8,Female,19335.328200357784,123964.8515625,6.7821888,14.238951632669936
Ovaries,ST002667,90266,Control,0,Female,30251.90478976283,348430.78125,1.6862112,14.88473836306822
Ovaries,ST002667,90410,Training,4,Female,79913.50391083575,899791.71484375,5.0225375,16.28615169220271
Ovaries,ST002667,90265,Control,0,Female,35914.297784966955,202859.671875,6.8004784,15.132270687022924
Ovaries,ST002667,90267,Training,8,Female,196143.70761092933,1639553.75,5.0047881,17.581551528209612
Ovaries,ST002667,90406,Training,4,Female,141168.22917290367,1384401.8046875,5.0178725,17.107055911685343
Ovaries,ST002667,90412,Training,4,Female,42336.80399103439,300741.96484375,5.0192815,15.369624743833112
Ovaries,ST002667,90416,Training,4,Female,20584.53967157544,157465.953125,6.7843413,14.329273565835011
Ovaries,ST002667,90420,Training,4,Female,56022.397430568126,656496.25,1.6867235,15.773716103182917
Ovaries,ST002667,90560,Training,1,Female,72022.81321339458,619608.875,5.0187491,16.1361663318928
Ovaries,ST002667,90559,Training,1,Female,60686.34618181012,422055.625,5.0225629,15.889084340650095
Ovaries,ST002667,90564,Training,1,Female,25291.369087197698,224858.515625,6.792311,14.626357515477016
Ovaries,ST002667,90567,Training,1,Female,24083.177474788117,109540.9453125,6.7725033,14.55573812981554
Ovaries,ST002667,90571,Training,1,Female,95137.99590118483,911961.875,5.0276931,16.537734014542114
Ovaries,ST002667,90576,Training,2,Female,112595.00071499734,1032666.5,5.029646,16.780783246759064
Ovaries,ST002667,90578,Training,2,Female,70463.79514439686,530741.375,5.0218842,16.10459455930074
Ovaries,ST002667,90581,Training,2,Female,136982.96535497796,1197404.625,5.0195585,17.063636971083152
Ovaries,ST002667,90585,Training,2,Female,30984.244545574802,175776.171875,6.7830856,14.919247172656792
Ovaries,ST002667,90587,Training,2,Female,27446.745709313564,187544.0625,1.9555972,14.744347482245933
Small Intestine,ST002674,90217,Control,0,Male,283769.08943742164,1345782.0,1.6915223,18.114357921678604
Small Intestine,ST002674,90218,Training,8,Male,257209.7627931429,1374031.0,1.6975238,17.972585877856737
Small Intestine,ST002674,90222,Training,8,Male,252848.14851766464,1535793.25,1.7101854,17.947911688796164
Small Intestine,ST002674,90227,Training,8,Male,288243.14457906317,2739938.0,1.690524,18.13692677043389
Small Intestine,ST002674,90225,Training,8,Male,139770.98317068713,976126.5625,1.6902719,17.09270535889245
Small Intestine,ST002674,90232,Control,0,Male,186172.48716827747,993484.625,3.6372981,17.50628035958562
Small Intestine,ST002674,90223,Training,8,Male,94908.72410633341,709505.625,3.5932858,16.53425308688494
Small Intestine,ST002674,90229,Control,0,Male,74447.37020581082,421765.25,3.6723361,16.18393326720109
Small Intestine,ST002674,90237,Control,0,Male,252545.88195936545,2474458.75,1.707965,17.946185991655387
Small Intestine,ST002674,90239,Control,0,Male,66512.39337334513,355458.0,3.6165276,16.021335565161298
Small Intestine,ST002674,90248,Control,0,Female,236858.7222046081,1695181.375,1.7114443,17.85366727386146
Small Intestine,ST002674,90245,Control,0,Female,156853.03518618253,712397.0,3.607349,17.25905392077285
Small Intestine,ST002674,90251,Training,8,Female,75749.07318335955,409293.09375,3.6323628,16.208940616360106
Small Intestine,ST002674,90252,Control,0,Female,95944.78413891893,543600.625,3.6798018,16.5499167586491
Small Intestine,ST002674,90254,Training,8,Female,53146.24419836668,306920.21875,3.6502802,15.69768012082895
Small Intestine,ST002674,90258,Training,8,Female,184508.32002481408,762463.6875,1.6860094,17.493326347567493
Small Intestine,ST002674,90266,Control,0,Female,238180.12990239295,1064136.0,3.6463838,17.861693536308056
Small Intestine,ST002674,90265,Control,0,Female,245477.77840638426,1174525.875,1.6989659,17.90523290657793
Small Intestine,ST002674,90267,Training,8,Female,228103.43321366803,2434992.0,1.7033792,17.799328635436087
Small Intestine,ST002674,90259,Training,8,Female,257793.97946690756,1782032.25,1.7035285,17.975859045759886
Small Intestine,ST002674,90280,Training,4,Male,147970.01660697663,885163.25,3.6750716,17.174945344380678
Small Intestine,ST002674,90281,Training,4,Male,248603.58541545356,2157925.75,1.6960343,17.923487577841666
Small Intestine,ST002674,90406,Training,4,Female,208346.8003480908,1234092.0,1.7074774,17.668627418694275
Small Intestine,ST002674,90283,Training,4,Male,51400.55073089917,263477.96875,3.6696397,15.649496196798964
Small Intestine,ST002674,90289,Training,4,Male,278718.84736803744,3152046.25,1.7122491,18.088451037284106
Small Intestine,ST002674,90292,Training,4,Male,206802.1224325654,1776163.875,1.6946559,17.657891466700992
Small Intestine,ST002674,90410,Training,4,Female,78819.91643366848,407688.25,3.5959441,16.266272599454073
Small Intestine,ST002674,90412,Training,4,Female,66465.00473830913,342892.71875,3.6741216,16.02030730994461
Small Intestine,ST002674,90416,Training,4,Female,199538.93235673787,1401022.75,1.7020802,17.606310734860237
Small Intestine,ST002674,90420,Training,4,Female,243511.6020013844,1819133.25,1.7170254,17.893630984942025
Small Intestine,ST002674,90421,Training,1,Male,307740.0808731003,2826349.0,1.7126919,18.231352830721487
Small Intestine,ST002674,90422,Training,1,Male,134665.56447108157,773373.75,3.5770896,17.039021458732734
Small Intestine,ST002674,90423,Training,1,Male,321125.90604587103,2892311.75,1.7075113,18.292779530083855
Small Intestine,ST002674,90426,Training,1,Male,128676.45693603565,836015.8125,3.6390559,16.97338859195304
Small Intestine,ST002674,90430,Training,1,Male,68056.60094799714,464331.40625,3.6419347,16.054447477988354
Small Intestine,ST002674,90439,Training,2,Male,110223.81080862279,526342.5,3.6254946,16.75007638641195
Small Intestine,ST002674,90441,Training,2,Male,106213.57848872016,618633.0625,3.6771494,16.696608688470633
Small Intestine,ST002674,90444,Training,2,Male,220159.51505505518,2291612.25,1.6918227,17.74818967177134
Small Intestine,ST002674,90449,Training,2,Male,99122.20266251681,521164.0625,3.5640307,16.596920626501145
Small Intestine,ST002674,90450,Training,2,Male,250597.80157454792,2181309.0,1.6947492,17.93501423278609
Small Intestine,ST002674,90559,Training,1,Female,344954.5224262623,1845260.875,1.6933325,18.39604664909624
Small Intestine,ST002674,90560,Training,1,Female,209392.3231240174,1007731.9375,3.624376,17.675849024661915
Small Intestine,ST002674,90564,Training,1,Female,301949.3544283427,1921147.5,1.7011189,18.203947062919706
Small Intestine,ST002674,90567,Training,1,Female,231059.0140202187,1685075.625,1.6940086,17.817901847120662
Small Intestine,ST002674,90571,Training,1,Female,54304.931932760286,297659.84375,3.6587906,15.728795607999409
Small Intestine,ST002674,90576,Training,2,Female,124636.29918301843,661317.6875,3.5952697,16.92736477574129
Small Intestine,ST002674,90578,Training,2,Female,261976.2818171481,1417696.75,1.6850857,17.99907667683423
Small Intestine,ST002674,90581,Training,2,Female,190053.6673175804,1698817.5,1.6826319,17.536047338467736
Small Intestine,ST002674,90585,Training,2,Female,252407.132350099,2044816.0,1.6856911,17.945393152034356
Small Intestine,ST002674,90587,Training,2,Female,82461.0810812284,430827.96875,3.6452751,16.331425754919294
Spleen,ST002665,90217,Control,0,Male,86314.25001996338,598762.0625,3.6364369,16.39731113983429
Spleen,ST002665,90218,Training,8,Male,22850.766744178916,99079.4453125,5.0293648,14.479954954437423
Spleen,ST002665,90223,Training,8,Male,12978.752897734179,50482.36328125,4.971474,13.66386414388097
Spleen,ST002665,90225,Training,8,Male,16557.552405055896,92874.6953125,5.0029454,14.015201803952673
Spleen,ST002665,90227,Training,8,Male,27413.047975417347,118027.203125,3.666231,14.742575125609854
Spleen,ST002665,90229,Control,0,Male,27393.55947051085,160800.859375,3.6768333,14.7415491190067
Spleen,ST002665,90222,Training,8,Male,19840.575316665017,125251.125,3.6713085,14.276166239672706
