tissue,platform,study_id,tag,group,timepoint,sex,animal,weeks,area,ppm
Gastrocnemius,RP-pos,ST002647,bio_90567015509,Training,1 week of training or control time,Female,90567015509,1,5.910904337565163,2.24523420813631
Gastrocnemius,RP-pos,ST002647,bio_90571015509,Training,1 week of training or control time,Female,90571015509,1,2.5286803680420173,-4.482176199011739
Gastrocnemius,RP-pos,ST002647,bio_90576015509,Training,2 weeks of training,Female,90576015509,2,0.0,nan
Gastrocnemius,RP-pos,ST002647,bio_90578015509,Training,2 weeks of training,Female,90578015509,2,3.400741040039006,-8.246939756204592
Gastrocnemius,RP-pos,ST002647,bio_90581015509,Training,2 weeks of training,Female,90581015509,2,4.747202623240165,-1.0380845072580216
Gastrocnemius,RP-pos,ST002647,bio_90585015509,Training,2 weeks of training,Female,90585015509,2,2.264473918660444,2.217304396207565
Gastrocnemius,RP-pos,ST002647,bio_90587015509,Training,2 weeks of training,Female,90587015509,2,1.8902133857727241,4.901606360491045
Gastrocnemius,RP-pos,ST002647,blank_0,Blank,,,blank_0,,0.0,nan
Gastrocnemius,RP-pos,ST002647,blank_1,Blank,,,blank_1,,4.081470625813769,-5.344587110917259
Gastrocnemius,RP-pos,ST002647,blank_2,Blank,,,blank_2,,0.0,nan
Gastrocnemius,RP-pos,ST002647,blank_3,Blank,,,blank_3,,0.0,nan
Heart,RP-neg,ST002916,bio_90217015807,Control,8 weeks of training or control time,Male,90217015807,0,8.767124013265061,8.946532669345105
Heart,RP-neg,ST002916,bio_90218015807,Training,8 weeks of training or control time,Male,90218015807,8,11.802145930989456,6.711828807232808
Heart,RP-neg,ST002916,bio_90222015807,Training,8 weeks of training or control time,Male,90222015807,8,18.189809933725794,-3.5285050317898863
Heart,RP-neg,ST002916,bio_90223015807,Training,8 weeks of training or control time,Male,90223015807,8,5.731745103200314,-0.7554868166020214
Heart,RP-neg,ST002916,bio_90225015807,Training,8 weeks of training or control time,Male,90225015807,8,2.5965453435262136,-1.680467449183504
Heart,RP-neg,ST002916,bio_90227015807,Training,8 weeks of training or control time,Male,90227015807,8,10.235666815439885,-7.898123201160841
Heart,RP-neg,ST002916,bio_90229015807,Control,8 weeks of training or control time,Male,90229015807,0,8.969556945673675,-6.505681538391487
Heart,RP-neg,ST002916,bio_90232015807,Control,8 weeks of training or control time,Male,90232015807,0,4.582534094238327,-6.0296424748515145
Heart,RP-neg,ST002916,bio_90237015807,Control,8 weeks of training or control time,Male,90237015807,0,2.4353191027323486,8.727772468798296
Heart,RP-neg,ST002916,bio_90239015807,Control,8 weeks of training or control time,Male,90239015807,0,3.5355830693562234,7.32349617030966
Heart,RP-neg,ST002916,bio_90245015807,Control,8 weeks of training or control time,Female,90245015807,0,9.295241955057815,-8.24712579183031
Heart,RP-neg,ST002916,bio_90248015807,Control,8 weeks of training or control time,Female,90248015807,0,8.180926169331798,3.101384396246238
Heart,RP-neg,ST002916,bio_90251015807,Training,8 weeks of training or control time,Female,90251015807,8,4.096709848531129,9.279985644566194
Heart,RP-neg,ST002916,bio_90252015807,Control,8 weeks of training or control time,Female,90252015807,0,6.168090807596815,-7.656630443021776
Heart,RP-neg,ST002916,bio_90254015807,Training,8 weeks of training or control time,Female,90254015807,8,10.221047052002037,8.014982503089419
Heart,RP-neg,ST002916,bio_90258015807,Training,8 weeks of training or control time,Female,90258015807,8,2.102389019266785,1.575172084155535
Heart,RP-neg,ST002916,bio_90259015807,Training,8 weeks of training or control time,Female,90259015807,8,0.0,nan
Heart,RP-neg,ST002916,bio_90265015807,Control,8 weeks of training or control time,Female,90265015807,0,3.80491823806764,-6.483004646786485
