tissue,mode,sex,week,animal,area,log2
Heart,RP-neg,Male,2,90449015807,5.853607074483181,2.5493259075642474
Heart,RP-neg,Male,2,90450015807,11.161375545756018,3.480442933053536
Heart,RP-neg,Male,4,90280015807,8.529722494252457,3.0924988057078897
Heart,RP-neg,Male,4,90281015807,8.61744863230392,3.1072607938662586
Heart,RP-neg,Male,4,90283015807,6.531372898864637,2.707386279091697
Heart,RP-neg,Male,4,90289015807,2.015818072509732,1.0113654415504176
Heart,RP-neg,Male,4,90292015807,5.44717301432288,2.4455076911074083
Heart,RP-neg,Male,8,90218015807,11.802145930989456,3.5609772970609677
Heart,RP-neg,Male,8,90222015807,18.18980993372579,4.185058563159673
Heart,RP-neg,Male,8,90223015807,5.731745103200314,2.5189744528440254
Heart,RP-neg,Male,8,90225015807,2.5965453435262136,1.3765934194596816
Heart,RP-neg,Male,8,90227015807,10.235666815439885,3.35553318650046
